Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-cli-html-minifier,2.5,3.5,4.0,5.14285,5.14285,4.5,4.5,4.5679,4.53416,4.66666
ember-cli-html-to-jsp,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-html5-audio,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-html5-form-validation,1.25,1.25,1.42857,1.42857,0.0,0.0,0.0,0.06211,0.06211,0.0606
ember-cli-html5-validation,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.08641,3.10559,3.0303
ember-cli-htmlbars,7.5,8.5,9.0,9.0,9.0,9.125,9.125,9.1358,9.13043,9.15151
ember-cli-htmlbars-inline-precompile,7.5,8.5,9.0,9.0,9.0,9.125,9.125,9.1358,9.13043,9.15151
ember-cli-htmlbars-l10n,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-htmlbars-minifier,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-cli-i18n,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-cli-i18n-lazy-lookup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-i18n-locales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-i18n-observer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-i18n-route,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-i18next,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-ic-ajax,2.5,2.5,2.14285,2.14285,2.14285,3.125,3.125,3.20987,3.1677,3.33333
ember-cli-ic-menu,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-ic-modal,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-icheck,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.125,3.20987,3.1677,3.0909
ember-cli-icomoon,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-icon-rating,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-identicon,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-cli-ie-check,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-ie-detect,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.33333,3.29192,3.45454
ember-cli-if-component,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-cli-ifa,6.25,6.25,6.42857,7.57142,7.57142,6.625,6.625,6.66666,6.64596,6.48484
ember-cli-iframe-resizer,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-image-cropper,3.75,4.375,5.0,5.0,5.0,5.625,5.625,5.67901,5.65217,5.51515
ember-cli-image-transformer,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-imagemin,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-cli-imgix,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-cli-impact-base,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.0909
ember-cli-impact-core,3.75,4.375,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-cli-import-from-npm,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-import-polyfill,3.75,3.75,3.57142,3.57142,2.14285,3.125,3.125,3.08641,3.10559,3.0303
ember-cli-index-fragment,1.25,1.25,1.42857,1.42857,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-indexeddb-wrapper,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-infinite-scroll,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-initial,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-inject-asset-map,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-inject-asset-map-unless-dev,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-inject-head,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-inject-live-reload,6.25,7.25,7.57142,7.57142,7.57142,7.875,7.875,7.90123,7.88819,7.93939
ember-cli-inject-meta,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-injection,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-cli-inline-content,7.5,7.5,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-inline-manual,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-inplace-edit,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-input-helpers,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-input-mask,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-inspectlet,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-instant2fa,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-cli-interakt,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-intercom,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-intercom-messenger,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-inuitcss,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-ion-rangeslider,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-is-component,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-cli-is-mobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-is-mobile-shim,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-java-properties-to-object,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-jquery-classy-loader,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-jquery-coverflow,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-jquery-easing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-jquery-slimscroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-jquery-sparkline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-jquery-storage-api,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-jquery-ui,3.75,3.75,3.57142,3.57142,3.57142,3.125,2.5,2.59259,2.54658,2.48484
ember-cli-js-cookie,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-cli-jsconsole,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-jscrambler,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-jsdoc,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,2.12121
ember-cli-jsmockito,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-json-license,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-json-module,3.75,4.375,4.28571,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.33333
ember-cli-json-pretty,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-json-schema,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-cli-json-to-js,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-jsonapi-pagination,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-jsoneditor,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.125,5.06172,5.09316,4.96969
ember-cli-jss,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-cli-jstransform,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-jstree,6.25,6.875,7.85714,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-cli-jsx,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-juxtapose,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-jwt-decode,5.0,5.0,5.0,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-cli-kalendae,3.75,3.75,4.28571,5.42857,5.42857,4.75,4.75,4.81481,4.7826,4.66666
ember-cli-keyboard-actions,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-keyboard-nav,2.5,3.125,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.33333
ember-cli-keycloak,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-kimchi,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-knob,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-kss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-latex-maths,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-launch-darkly,1.25,1.25,1.42857,2.14285,2.14285,3.125,3.125,3.20987,3.1677,3.0909
ember-cli-lazy-code,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-cli-lazy-load,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.7037,3.7267,3.63636
ember-cli-lazysizes,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-leaflet,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-legacy-blueprints,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.79012,6.83229,6.66666
ember-cli-less,3.75,4.375,4.28571,5.0,5.0,5.625,5.625,5.67901,5.65217,5.75757
ember-cli-less-pods,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-less-pods-addons,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-lettering-js,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-lexer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-libravatar,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-license,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-light-template-lint,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-lightbox,5.0,5.625,6.42857,7.14285,7.14285,6.25,5.625,5.67901,5.65217,5.75757
ember-cli-lightning-design-system,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-cli-link-tags,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-cli-liquid-fire-events,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-list-view,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-livescript,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-llama-table,5.0,5.0,5.71428,5.71428,5.71428,6.25,5.625,5.67901,5.65217,5.51515
ember-cli-loaders,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-loading,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-loading-slider,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-cli-local-storage-wrapper,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-locales-pods,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-localstorage-adapter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-lodash,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-lodash-extras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-log-observers-and-computed,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-logger,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-lolex-shim,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-lolmaus-blueprints,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-lorem-ipsum,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-lorem-pixel,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-lunr,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-make-concoction,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mandrill,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-map,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-mapbox,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-cli-mapbox-gl,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mapbox-map,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mapillary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-cli-mapy-cz,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-cli-markdown-as-json,5.0,5.0,5.0,5.0,5.0,4.375,3.75,3.7037,3.7267,3.63636
ember-cli-markdown-codefences,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-markdown-editor,2.5,2.5,2.85714,4.0,4.0,3.5,3.5,3.58024,3.54037,3.45454
ember-cli-markdown-it,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-markdown-resolver,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-markdown-templates,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-markdown-to-json,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-marked,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-marked-down,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-markjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-mask,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-masked-inputs,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-maskedinput,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.57575
ember-cli-maskmoney,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-masonry-grid,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-matchmedia-polyfill,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-material,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-material-design-icons,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
ember-cli-material-icons,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-material-lite,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-materialize,7.5,8.5,9.0,9.0,9.0,9.125,9.125,9.1358,9.13043,8.90909
ember-cli-materialize-css,2.5,2.5,2.85714,4.0,2.57142,2.25,2.25,2.34567,2.29813,2.24242
ember-cli-materialnote,5.0,5.0,5.0,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-cli-mautic,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-maven-deploy,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-md5,3.75,3.75,3.57142,3.57142,2.14285,1.875,1.875,1.9753,1.92546,2.12121
ember-cli-mdc,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-animation,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-base,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-button,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-card,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-checkbox,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-chips,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-mdc-datepicker-dialog,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-dialog,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-dom,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-drawer,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-elevation,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-fab,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-floating-label,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-form,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-form-field,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-htmlbars,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-icon,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-icon-button,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-layout,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-layout-grid,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-line-ripple,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-linear-progress,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-list,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-menu,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-menu-surface,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-notched-outline,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-ripple,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-rtl,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-sass,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-select,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-selection-control,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-shape,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-slider,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-snackbar,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-switch,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-tab,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-tab-indicator,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-tab-scroller,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-tabs,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-cli-mdc-textfield,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-theme,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-top-app-bar,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdc-typography,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mdl,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-cli-media-queries,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-medium-editor,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-cli-mentionable,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-merge-json,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-meta-options,3.75,4.75,5.42857,5.42857,4.0,3.5,3.5,3.58024,3.54037,3.69696
ember-cli-meta-tags,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-cli-meyer-reset-sass,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-microsoft-speech-shim,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-cli-minimal-tree,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mirage,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75757
ember-cli-mirage-graphql,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-cli-mirage-nested,2.5,3.5,4.0,5.14285,5.14285,4.5,3.875,3.82716,3.85093,4.0
ember-cli-mixpanel,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-cli-mixpanel-service,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mobile-chrome-apps,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-mocha,8.75,8.75,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
ember-cli-mocha-assert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ember-cli-mocha-reporter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mock-socket,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-cli-mockfirebase-shim,3.75,3.75,3.57142,3.57142,3.57142,3.125,3.125,3.08641,3.10559,3.0303
ember-cli-modal-service,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-mode-resolver,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-cli-model-name,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-modernizr,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-module-blueprints,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-cli-moment,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.30434,1.30434,1.27272
ember-cli-moment-business,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-cli-moment-duration-format,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-cli-moment-range,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-cli-moment-shim,6.25,6.875,7.14285,7.85714,7.85714,8.125,8.125,8.14814,8.13664,8.18181
ember-cli-moment-transform,6.25,6.875,7.14285,7.85714,7.85714,8.125,7.5,7.53086,7.51552,7.57575
