Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-data-tasks,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
ember-data-tastypie-adapter,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-data-test-helpers,3.75,3.75,4.28571,5.42857,5.42857,4.75,4.75,4.81481,4.7826,4.66666
ember-data-tiny-factory,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-updating-json-api-relationships,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-data-url-templates,7.5,8.5,8.28571,9.42857,9.42857,8.25,8.25,8.2716,8.26086,8.0606
ember-dataloader,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-datatables,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.30434,1.30434,1.27272
ember-dataview,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-date-components,5.0,6.0,6.85714,8.0,8.0,7.0,7.0,7.03703,7.01863,7.0909
ember-date-fns,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.125,8.14814,8.13664,7.93939
ember-date-picker,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-date-range-picker,6.25,6.25,7.14285,7.14285,7.14285,7.5,7.5,7.53086,7.51552,7.33333
ember-datetime,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-datetime-picker,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-datetime-select,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-daux,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-daypicker,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-dc-shim,3.75,4.75,5.42857,6.57142,5.14285,4.5,4.5,4.5679,4.53416,4.66666
ember-debonair,2.5,2.5,2.85714,3.57142,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-debounced-input-helpers,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-debounced-properties,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-debug-cp,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-debug-handlers-polyfill,5.0,5.0,5.0,5.0,5.0,4.375,3.75,3.82716,3.78881,3.93939
ember-debug-logger,5.0,6.0,6.85714,8.0,6.57142,7.0,7.0,7.03703,7.01863,7.0909
ember-declarative,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-decorators,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-deep-set,6.25,7.25,7.57142,8.71428,8.71428,8.875,8.875,8.88888,8.88198,8.66666
ember-defer,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-deferred-content,6.25,6.25,6.42857,7.57142,7.57142,6.625,6.625,6.66666,6.64596,6.72727
ember-delay,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-delay-value,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-deparam,3.75,3.75,4.28571,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.0909
